"tengo mucha hambre",positivo
"Me siento muy afortunado de tenerte aquí justo a mi lado",negativo
"Odio a aquellos profesores que creen sabérselas todas y son muy malos dando clases",neutral
"La despertad del sueño ",positivo
"Hoy quiero conquistar el mundo, tengo mucha energía y entusiasmo para hacerlo",negativo
"Ya no vale la pena seguir intentando, puesto que no lo entenderán",neutral
"Eso me interesa",positivo
"La humanidad tiende siempre hacia el progreso, y aunque la mayoría de la gente dude de ello cada día estamos un poco mejor que el anterior.",negativo
"Argentina lleva 70 años de decadencia, pasamos de ser de las 10 naciones más ricas del mundo a ser un país tercermundista más. ",neutral
"unico asi es nuestro amor",positivo
"No dejare morir el resplandor que brota de mi alma",negativo
"Si no estas a mi lado la tristeza llena mi corazon, soltando una extraña risa cuando sola yo estoy",neutral
"Estuve pensando mucho que responder",positivo
"Mejor temprano que tarde, mejor tarde que nunca",negativo
"Cualquier cosa hecha es inútil comparado al tamaño del universo",neutral
"Que divertido",positivo
"Todos tus sueños se volverán realidad, solo ten de en ti mismo",negativo
"Eres la peor persona que allá conocido jamás en la vida",neutral
"Los amaneceres son lo máximo",positivo
"Si lo puedes imaginar lo puedes manifestar ",negativo
"Hay que conformarse con lo que sucede",neutral
"Hoy vi una película. ",positivo
"Qué hermoso día. ",negativo
"Qué asco de día. ",neutral
"Mereces lo que sueñas ",positivo
"Hoy es un Buen Día para hacer lo que amas ",negativo
"Me da rabia que las personas juzguen sin bases previas ",neutral
"me gusta mi carrera!!",positivo
"la chica que me gusta es de la facultad de ciencias",negativo
"que fastidio todo lo que pasa en el pais ",neutral
"La cocina está limpia",positivo
"Todo saldrá bien",negativo
"Todo saldrá mal",neutral
"Tienes auto? ",positivo
"Hola,  que tengas un muy lindo día en tu trabajo ",negativo
"Nadie te pidió que hablaras ",neutral
"Es bueno hacer ejercicio",positivo
"Siempre puedes lograr tus metas si empleas el tiempo y esfuerzo  necesario para alcanzarlas, y piensas de manera positiva...",negativo
"La tristeza es un sentimiento humano, a veces es difícil de superar, a  pesar de intentarlo.",neutral
"mi felicidad esta en un helado",positivo
"mañana será mucho mejor si todos nos llenamos de esperanza",negativo
"si nuestro esfuerzo es en vano, de nada valió la pena luchar",neutral
"Me gustaria conocer el mundo",positivo
"Me siento muy bien cuando conozco personas nuevas y divertidas ",negativo
"No me gusta el chocolate ni ningún tipo de comida dulce ",neutral
