Marca temporal,Puntuación,"Escriba un frase corta con un elogio, máximo 5 palabras.","Escriba un frase corta en forma de pregunta, máximo 5 palabras.","Escriba un frase corta que sea diferente a las categorías anteriores, máximo 5 palabras","Escriba una frase que exprese un sentimiento positivo, mínimo 10 palabras","Escriba una frase que exprese un sentimiento negativo, mínimo 10 palabras","Escriba una frase que exprese un sentimiento neutral, mínimo 10 palabras"
21/04/2018 14:18:49,,me caes muy bien,cómo vas con la tesis?,tengo mucha hambre,Me siento muy afortunado de tenerte aquí justo a mi lado,Odio a aquellos profesores que creen sabérselas todas y son muy malos dando clases,El día de hoy se puede ir a hacer compras en el supermercado sin hacer mucha cola
21/04/2018 15:21:13,,Tú eres excelente,¿Cómo lo haces?,La despertad del sueño ,"Hoy quiero conquistar el mundo, tengo mucha energía y entusiasmo para hacerlo","Ya no vale la pena seguir intentando, puesto que no lo entenderán","Es un día normal, cómo cualquier otro para empezar de nuevo"
21/04/2018 15:22:23,,Eres preciosa,¿Qué queres?,Eso me interesa,"La humanidad tiende siempre hacia el progreso, y aunque la mayoría de la gente dude de ello cada día estamos un poco mejor que el anterior.","Argentina lleva 70 años de decadencia, pasamos de ser de las 10 naciones más ricas del mundo a ser un país tercermundista más. ",La formula resolvente es menos b más menos raiz de b al cuadrado menos 4 por a por c todo sobre dos por a.
21/04/2018 15:58:34,,tan bello como el sol,tienes hambre ?,unico asi es nuestro amor,No dejare morir el resplandor que brota de mi alma,"Si no estas a mi lado la tristeza llena mi corazon, soltando una extraña risa cuando sola yo estoy","No importa lo bueno o lo malo, si hace frio o calor ... Lo que importa es que aqui estoy"
21/04/2018 17:42:06,,Tu ayuda me es útil,¿Ya llegó el agua?,Estuve pensando mucho que responder,"Mejor temprano que tarde, mejor tarde que nunca",Cualquier cosa hecha es inútil comparado al tamaño del universo,El poder se obtiene por la acción no por méritos
21/04/2018 19:57:56,,Eres una persona execional ,¿me lo dices a mi?,Que divertido,"Todos tus sueños se volverán realidad, solo ten de en ti mismo",Eres la peor persona que allá conocido jamás en la vida,"Como te vaya me da igual, no me vengas a buscar"
21/04/2018 19:58:22,,Eres magia ,Cual es tu comida favorita?,Los amaneceres son lo máximo,Si lo puedes imaginar lo puedes manifestar ,Hay que conformarse con lo que sucede,Todo en la vida tiene un lado bueno y malo 
21/04/2018 20:09:01,,Qué lindos ojos tienes. ,¿Qué hiciste hoy? ,Hoy vi una película. ,Qué hermoso día. ,Qué asco de día. ,Todo está normal. 
21/04/2018 20:13:12,,Hoy en un lindo día ,¿Estás bien?,Mereces lo que sueñas ,Hoy es un Buen Día para hacer lo que amas ,Me da rabia que las personas juzguen sin bases previas ,Hoy comí pasta que preparó mi mama y mi perro se comió una parte 
21/04/2018 20:14:45,,la ULA es lo maximo ,algun dia nos graduaremos?,me gusta mi carrera!!,la chica que me gusta es de la facultad de ciencias,que fastidio todo lo que pasa en el pais ,no se como sentirme con las elecciones venideras 
21/04/2018 20:16:11,,Eres inteligente,Te pasa algo,La cocina está limpia,Todo saldrá bien,Todo saldrá mal,No existen los sentimientos neutrales
21/04/2018 20:19:46,,Que música te guata? ,Como se llama tu amigo? ,Tienes auto? ,"Hola,  que tengas un muy lindo día en tu trabajo ",Nadie te pidió que hablaras ,Que opinas sobre el conflicto en siria? 
21/04/2018 20:33:57,,Eres muy especial ,Como estas hoy?,Es bueno hacer ejercicio,"Siempre puedes lograr tus metas si empleas el tiempo y esfuerzo  necesario para alcanzarlas, y piensas de manera positiva...","La tristeza es un sentimiento humano, a veces es difícil de superar, a  pesar de intentarlo.","A veces las cosas pasan porque simplemente así es la vida, no es bueno  ni malo, solo es algo que ocurre ."
21/04/2018 20:41:13,,"la curva más hermosa, tu sonrisa",y si te quedas por siempre?,mi felicidad esta en un helado,mañana será mucho mejor si todos nos llenamos de esperanza,"si nuestro esfuerzo es en vano, de nada valió la pena luchar",vamos a recorrer la carretera viendo las nubes moverse a nuestro lado.
21/04/2018 20:43:50,,Eres una persona muy pura,Te gusta la comida?,Me gustaria conocer el mundo,Me siento muy bien cuando conozco personas nuevas y divertidas ,No me gusta el chocolate ni ningún tipo de comida dulce ,Me siento satisfecho cuando realizo por completo mis actividades y deberes
21/04/2018 20:45:41,,Me gusta tu andar despacio,como te has sentido después del medicamento?,He estado bastante nostalgica estos ultimos días,"cada vez que te sientas desolado, toma un respiro , reemplantea sobre lo que se trata la vida, y sigue!",ultimanente has estado demasiado enfadado si sigues así la ira te dominara,"has tenido muchos logros esta semana, no te desalientes pero tampoco te confies"
21/04/2018 20:49:33,,Eres una persona muy pura ,¿Te gusta mucho la musica?,No me gusta bailar salsa,Me siento muy bien cuando conozco gente nueva y divertida ,No me cae bien la gente que no le gusta el chocolate ,Me siento satisfecha cuando realizo completamente todas mis actividades y deberes 
21/04/2018 20:56:34,,estas muy bella ,estas bien?,no estoy,soy feliz comigo mismo ,no sali bien en mi examen ,"esta bien, no hay problema"
21/04/2018 20:57:14,,Eres muy organizado,Donde iras esta noche,me encanta el helado,la solidaridad consiste en el apoyo y la aceptación de quienes queremos ,"La envidia es el sentimiento mas oscuro del ser humano, pues lo guarda con recelo",El respeto envuelve la prudencia en el actuar y el hablar 
21/04/2018 20:58:14,,Dios nos ama a todos,te amas a ti mismo?,ama cada dia es una oportunidad,Debemos ayudarnos unos a los otros sin esperar nada a cambio,No permitas que una persona tóxica influya en ti.,La felicidad depende de tu actitud. Eso depende de ti
